Tiempo,Temperatura,Humedad,Masa
102.15,17,58,-1.04
102.25,17,58,-1.19
102.35,17,58,-1.52
102.46,17,58,-1.69
102.56,17,58,-1.39
102.66,17,58,-1.31
102.76,17,58,-1.4
102.87,17,58,-1.2
102.97,17,58,-1.19
103.07,17,58,-1.22
103.17,17,58,-1.56
103.28,17,58,-1.34
103.38,17,58,-1.04
103.48,17,58,-1.28
103.61,17,58,-1.17
103.71,17,58,-1.24
103.81,17,58,-1.49
103.91,17,58,-1.4
104.01,17,58,-1.36
104.12,17,58,-1.12
104.22,17,58,-1.16
104.32,17,58,-1.15
104.43,17,58,-1.24
104.53,17,58,-1.49
104.63,17,58,-1.36
104.73,17,58,-1.22
104.83,17,58,-0.92
104.94,17,58,-0.82
105.04,17,58,-1.23
105.14,17,58,-1.51
105.24,17,58,-1.46
105.35,17,58,-1.17
105.45,17,58,-1.47
105.55,17,58,-1.59
105.68,17,58,-1.3
105.78,17,58,-1.3
105.88,17,58,-1.38
105.98,17,58,-1.58
106.09,17,58,-1.19
106.19,17,58,-1.29
106.29,17,58,-1.37
106.39,17,58,-1.19
106.5,17,58,-1.25
106.6,17,58,-1.26
106.7,17,58,-1.34
106.8,17,58,-1.23
106.9,17,58,-1.38
107.01,17,58,-1.7
107.11,17,58,-1.1
107.21,17,58,-1.28
107.31,17,58,-1.53
107.42,17,58,-1.31
107.52,17,58,-1.1
107.62,17,58,-1.19
107.75,17,58,-1.28
107.85,17,58,-1.27
107.95,17,58,-1.26
108.05,17,58,-1.22
108.16,17,58,-1.38
108.26,17,58,-1.52
108.36,17,58,-1.4
108.46,17,58,-1.42
108.57,17,58,-1.44
108.67,17,58,-1.51
108.77,17,58,-1.58
108.87,17,58,-1.45
108.98,17,58,-1.31
109.08,17,58,-1.3
109.18,17,58,-1.37
109.28,17,58,-1.6
109.38,17,58,-1.67
109.49,17,58,-1.73
109.59,17,58,-1.37
109.69,17,58,-1.26
109.82,17,58,-1.26
109.92,17,58,-1.28
110.02,17,58,-1.51
110.12,17,58,-1.44
110.23,17,58,-1.4
110.33,17,58,-1.58
110.43,17,58,-1.74
110.53,17,58,-1.67
110.64,17,58,-1.34
110.74,17,58,-1.16
110.84,17,58,-1.34
110.94,17,58,-1.38
111.05,17,58,-0.96
111.15,17,58,-1.24
111.25,17,58,-1.46
111.35,17,58,-1.48
111.46,17,58,-1.72
111.56,17,58,-1.55
